Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  802 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1598589,  1601705,  3116 
128 , 140024824,  140029454,  4630 , 1858023 
129 , 140936764,  140941406,  4642 , 1823892 
130 , 141863972,  141868626,  4654 , 1854428 
131 , 142774110,  142778776,  4666 , 1820288 
132 , 143699665,  143704343,  4678 , 1851122 
133 , 144607992,  144612681,  4689 , 1816665 
134 , 145531919,  145536621,  4702 , 1847867 
135 , 146438560,  146443275,  4715 , 1813295 
136 , 147360818,  147365544,  4726 , 1844527 
137 , 148265764,  148270501,  4737 , 1809903 
138 , 149186428,  149191178,  4750 , 1841341 
139 , 150089720,  150094482,  4762 , 1806596 
140 , 151008834,  151013607,  4773 , 1838239 
141 , 151910491,  151915278,  4787 , 1803328 
142 , 152828092,  152832890,  4798 , 1835213 
143 , 153728166,  153732973,  4807 , 1800157 
144 , 154644249,  154649071,  4822 , 1832181 
145 , 155542771,  155547605,  4834 , 1797056 
146 , 156457415,  156462259,  4844 , 1829298 
147 , 157354404,  157359261,  4857 , 1793991 
148 , 158267608,  158272479,  4871 , 1826422 
149 , 159163100,  159167981,  4881 , 1790994 
150 , 160074929,  160079822,  4893 , 1823670 
151 , 160968961,  160973867,  4906 , 1788077 
152 , 161879416,  161884335,  4919 , 1820923 
153 , 162771992,  162776922,  4930 , 1785163 
154 , 163681169,  163686110,  4941 , 1818365 
155 , 164572350,  164577304,  4954 , 1782375 
156 , 165480210,  165485175,  4965 , 1815731 
157 , 166370037,  166375015,  4978 , 1779667 
158 , 167276597,  167281586,  4989 , 1813131 
159 , 168165039,  168170042,  5003 , 1776898 
160 , 169070377,  169075391,  5014 , 1810687 
161 , 169957534,  169962559,  5025 , 1774325 
162 , 170861621,  170866658,  5037 , 1808186 
163 , 171747520,  171752575,  5055 , 1771816 
164 , 172650374,  172655434,  5060 , 1805713 
165 , 173535002,  173540078,  5076 , 1769272 
166 , 174436673,  174441759,  5086 , 1803352 
167 , 175320063,  175325161,  5098 , 1766792 
168 , 176220623,  176225732,  5109 , 1801131 
169 , 177102760,  177107883,  5123 , 1764288 
170 , 178002205,  178007338,  5133 , 1798900 
171 , 178883164,  178888310,  5146 , 1761931 
172 , 179781508,  179786667,  5159 , 1796701 
173 , 180661293,  180666463,  5170 , 1759581 
174 , 181558551,  181563734,  5183 , 1794529 
175 , 182437159,  182442353,  5194 , 1757227 
176 , 183333368,  183338575,  5207 , 1792431 
177 , 184210863,  184216082,  5219 , 1755002 
178 , 185106039,  185111270,  5231 , 1790364 
179 , 185982428,  185987671,  5243 , 1752790 
180 , 186876589,  186881844,  5255 , 1788334 
181 , 187751888,  187757156,  5268 , 1750611 
182 , 188645032,  188650311,  5279 , 1786299 
