Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  501 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 4066071,  4069270,  3199 
1 , 5950620,  5953839,  3219 , 3769118 
2 , 7670438,  7673673,  3235 , 3439652 
3 , 9283890,  9287141,  3251 , 3226920 
4 , 10836801,  10840071,  3270 , 3105841 
5 , 12326125,  12329413,  3288 , 2978666 
6 , 13782535,  13785841,  3306 , 2912838 
7 , 15192910,  15196231,  3321 , 2820765 
8 , 16582670,  16586009,  3339 , 2779538 
9 , 17935701,  17939058,  3357 , 2706080 
10 , 19274851,  19278224,  3373 , 2678316 
11 , 20583156,  20586548,  3392 , 2616629 
12 , 21882247,  21885656,  3409 , 2598199 
13 , 23153951,  23157377,  3426 , 2543425 
14 , 24419546,  24422987,  3441 , 2531205 
15 , 25660290,  25663751,  3461 , 2481508 
16 , 26897615,  26901092,  3477 , 2474666 
17 , 28111908,  28115403,  3495 , 2428604 
18 , 29325000,  29328512,  3512 , 2426201 
19 , 30516317,  30519847,  3530 , 2382652 
20 , 31708183,  31711729,  3546 , 2383748 
21 , 32879291,  32882856,  3565 , 2342235 
22 , 34052118,  34055699,  3581 , 2345670 
23 , 35205362,  35208961,  3599 , 2306506 
24 , 36361238,  36364853,  3615 , 2311768 
25 , 37498330,  37501962,  3632 , 2274201 
26 , 38638996,  38642644,  3648 , 2281348 
27 , 39761590,  39765256,  3666 , 2245206 
28 , 40888454,  40892138,  3684 , 2253746 
29 , 41997675,  42001376,  3701 , 2218459 
30 , 43112009,  43115729,  3720 , 2228687 
31 , 44209045,  44212782,  3737 , 2194089 
32 , 45311844,  45315597,  3753 , 2205614 
33 , 46397623,  46401396,  3773 , 2171578 
34 , 47489653,  47493441,  3788 , 2184075 
35 , 48565075,  48568879,  3804 , 2150860 
36 , 49647168,  49650988,  3820 , 2164202 
37 , 50712854,  50716692,  3838 , 2131390 
38 , 51785722,  51789577,  3855 , 2145753 
39 , 52842359,  52846232,  3873 , 2113292 
40 , 53906635,  53910526,  3891 , 2128570 
41 , 54954895,  54958803,  3908 , 2096537 
42 , 56011084,  56015008,  3924 , 2112394 
43 , 57051466,  57055408,  3942 , 2080782 
44 , 58100004,  58103964,  3960 , 2097094 
45 , 59132976,  59136953,  3977 , 2065961 
46 , 60174403,  60178397,  3994 , 2082871 
47 , 61200377,  61204386,  4009 , 2051963 
48 , 62235212,  62239239,  4027 , 2069688 
49 , 63254621,  63258666,  4045 , 2038836 
50 , 64283147,  64287210,  4063 , 2057070 
51 , 65296391,  65300471,  4080 , 2026505 
52 , 66318928,  66323024,  4096 , 2045090 
53 , 67326274,  67330387,  4113 , 2014709 
54 , 68343164,  68347295,  4131 , 2033798 
55 , 69344826,  69348975,  4149 , 2003342 
56 , 70356354,  70360519,  4165 , 2023072 
57 , 71352648,  71356830,  4182 , 1992605 
58 , 72359064,  72363264,  4200 , 2012850 
59 , 73350231,  73354449,  4218 , 1982352 
60 , 74351779,  74356013,  4234 , 2003112 
61 , 75338116,  75342367,  4251 , 1972691 
62 , 76334992,  76339262,  4270 , 1993771 
63 , 77316718,  77321003,  4285 , 1963467 
64 , 78309128,  78313429,  4301 , 1984836 
65 , 79286329,  79290649,  4320 , 1954421 
66 , 80274521,  80278859,  4338 , 1976402 
67 , 81247477,  81251833,  4356 , 1945930 
68 , 82231598,  82235970,  4372 , 1968258 
69 , 83200461,  83204852,  4391 , 1937745 
70 , 84180643,  84185050,  4407 , 1960380 
71 , 85145600,  85150026,  4426 , 1929933 
72 , 86122036,  86126479,  4443 , 1952889 
73 , 87083209,  87087669,  4460 , 1922363 
74 , 88056083,  88060559,  4476 , 1945764 
75 , 89013642,  89018138,  4496 , 1915138 
76 , 89983101,  89987612,  4511 , 1938933 
77 , 90937242,  90941771,  4529 , 1908300 
78 , 91903390,  91907935,  4545 , 1932312 
79 , 92854228,  92858792,  4564 , 1901695 
80 , 93817185,  93821765,  4580 , 1925930 
81 , 94764842,  94769442,  4600 , 1895334 
82 , 95724726,  95729344,  4618 , 1919786 
83 , 96669279,  96673914,  4635 , 1889123 
84 , 97626256,  97630907,  4651 , 1913970 
85 , 98567797,  98572466,  4669 , 1883100 
86 , 99521938,  99526623,  4685 , 1908298 
87 , 100460582,  100465286,  4704 , 1877307 
88 , 101412021,  101416742,  4721 , 1902895 
89 , 102347893,  102352631,  4738 , 1871761 
90 , 103296742,  103301495,  4753 , 1897713 
91 , 104229962,  104234734,  4772 , 1866459 
92 , 105176327,  105181117,  4790 , 1892748 
93 , 106107017,  106111825,  4808 , 1861398 
94 , 107050978,  107055802,  4824 , 1887938 
95 , 107979207,  107984049,  4842 , 1856476 
96 , 108920801,  108925661,  4860 , 1883206 
97 , 109846618,  109851495,  4877 , 1851651 
98 , 110785903,  110790796,  4893 , 1878586 
99 , 111709382,  111714293,  4911 , 1846976 
100 , 112646475,  112651403,  4928 , 1874203 
101 , 113567662,  113572610,  4948 , 1842394 
102 , 114502608,  114507570,  4962 , 1869906 
103 , 115421567,  115426548,  4981 , 1837937 
104 , 116354432,  116359429,  4997 , 1865746 
105 , 117271257,  117276274,  5017 , 1833670 
106 , 118202080,  118207114,  5034 , 1861663 
107 , 119116830,  119121882,  5052 , 1829518 
108 , 120045711,  120050780,  5069 , 1857779 
109 , 120958438,  120963524,  5086 , 1825471 
110 , 121885441,  121890544,  5103 , 1854023 
111 , 122796201,  122801324,  5123 , 1821540 
112 , 123721377,  123726515,  5138 , 1850367 
113 , 124630214,  124635370,  5156 , 1817692 
114 , 125553649,  125558821,  5172 , 1846886 
115 , 126460602,  126465795,  5193 , 1813927 
116 , 127382333,  127387542,  5209 , 1843478 
117 , 128287481,  128292708,  5227 , 1810314 
118 , 129207454,  129212698,  5244 , 1839963 
119 , 130110876,  130116138,  5262 , 1806862 
120 , 131029217,  131034498,  5281 , 1836701 
121 , 131930919,  131936216,  5297 , 1803420 
122 , 132847692,  132853007,  5315 , 1833564 
123 , 133747701,  133753035,  5334 , 1800037 
124 , 134662936,  134668286,  5350 , 1830486 
125 , 135561329,  135566698,  5369 , 1796805 
126 , 136475107,  136480492,  5385 , 1827572 
127 , 137371934,  137377339,  5405 , 1793674 
128 , 138284326,  138289747,  5421 , 1824800 
129 , 139179585,  139185025,  5440 , 1790537 
130 , 140090541,  140095997,  5456 , 1821928 
131 , 140984316,  140989791,  5475 , 1787569 
132 , 141893869,  141899361,  5492 , 1819123 
133 , 142786167,  142791678,  5511 , 1784615 
134 , 143694368,  143699895,  5527 , 1816418 
135 , 144585269,  144590815,  5546 , 1781821 
136 , 145492139,  145497702,  5563 , 1813757 
137 , 146381642,  146387225,  5583 , 1779026 
138 , 147287231,  147292829,  5598 , 1811193 
139 , 148175346,  148180963,  5617 , 1776249 
140 , 149079710,  149085344,  5634 , 1808745 
141 , 149966441,  149972094,  5653 , 1773481 
142 , 150869570,  150875238,  5668 , 1806273 
143 , 151754994,  151760681,  5687 , 1770867 
144 , 152656898,  152662604,  5706 , 1803827 
145 , 153541053,  153546775,  5722 , 1768326 
146 , 154441840,  154447582,  5742 , 1801594 
147 , 155324826,  155330575,  5749 , 1765979 
148 , 156224476,  156230249,  5773 , 1799324 
149 , 157106249,  157112047,  5798 , 1763571 
150 , 158004868,  158010682,  5814 , 1797254 
151 , 158885490,  158891321,  5831 , 1761261 
152 , 159783061,  159788910,  5849 , 1795160 
153 , 160662497,  160668365,  5868 , 1758891 
154 , 161559016,  161564901,  5885 , 1793055 
155 , 162437254,  162443158,  5904 , 1756495 
156 , 163332734,  163338654,  5920 , 1790976 
157 , 164209840,  164215780,  5940 , 1754232 
158 , 165104324,  165110281,  5957 , 1788985 
159 , 165980325,  165986302,  5977 , 1752022 
160 , 166873815,  166879809,  5994 , 1786997 
161 , 167748727,  167754740,  6013 , 1749843 
162 , 168641258,  168647289,  6031 , 1785080 
163 , 169515126,  169521176,  6050 , 1747755 
164 , 170406733,  170412799,  6066 , 1783230 
165 , 171279568,  171285654,  6086 , 1745690 
166 , 172170265,  172176371,  6106 , 1781414 
167 , 173042104,  173048228,  6124 , 1743696 
168 , 173931886,  173938028,  6142 , 1779582 
169 , 174802772,  174808933,  6161 , 1741791 
170 , 175691628,  175697807,  6179 , 1777730 
171 , 176561554,  176567751,  6197 , 1739870 
172 , 177449582,  177455796,  6214 , 1776073 
173 , 178318559,  178324794,  6235 , 1737975 
174 , 179205725,  179211977,  6252 , 1774349 
175 , 180073770,  180080040,  6270 , 1736108 
176 , 180960130,  180966419,  6289 , 1772739 
177 , 181827282,  181833589,  6307 , 1734322 
178 , 182712860,  182719185,  6325 , 1771174 
179 , 183579116,  183585461,  6345 , 1732532 
180 , 184463921,  184470281,  6360 , 1769625 
181 , 185329298,  185335677,  6379 , 1730773 
182 , 186213352,  186219750,  6398 , 1768127 
183 , 187077876,  187084292,  6416 , 1729066 
184 , 187961187,  187967620,  6433 , 1766639 
185 , 188824868,  188831321,  6453 , 1727382 
186 , 189707452,  189713921,  6469 , 1765184 
187 , 190570326,  190576815,  6489 , 1725768 
188 , 191452206,  191458712,  6506 , 1763777 
189 , 192314250,  192320776,  6526 , 1724108 
190 , 193195439,  193201984,  6545 , 1762397 
191 , 194056688,  194063250,  6562 , 1722515 
192 , 194937197,  194943779,  6582 , 1761038 
193 , 195797646,  195804247,  6601 , 1720917 
194 , 196677500,  196684120,  6620 , 1759727 
195 , 197537183,  197543822,  6639 , 1719385 
196 , 198416394,  198423050,  6656 , 1758439 
197 , 199275345,  199282019,  6674 , 1717920 
198 , 200153912,  200160606,  6694 , 1757154 
199 , 201012100,  201018813,  6713 , 1716395 
200 , 201890071,  201896801,  6730 , 1755959 
201 , 202747510,  202754260,  6750 , 1714898 
202 , 203624902,  203631670,  6768 , 1754802 
203 , 204481626,  204488412,  6786 , 1713466 
204 , 205358412,  205365215,  6803 , 1753589 
205 , 206214420,  206221243,  6823 , 1712036 
206 , 207090605,  207097446,  6841 , 1752388 
207 , 207945904,  207952766,  6862 , 1710619 
208 , 208821479,  208828357,  6878 , 1751166 
209 , 209676129,  209683025,  6896 , 1709318 
210 , 210551124,  210558039,  6915 , 1750009 
211 , 211405136,  211412070,  6934 , 1708043 
212 , 212279600,  212286552,  6952 , 1748946 
213 , 213132951,  213139921,  6970 , 1706720 
214 , 214006880,  214013870,  6990 , 1747878 
215 , 214859578,  214866587,  7009 , 1705415 
216 , 215732987,  215740013,  7026 , 1746835 
217 , 216585058,  216592104,  7046 , 1704162 
218 , 217457944,  217465008,  7064 , 1745790 
219 , 218309400,  218316484,  7084 , 1702932 
220 , 219181767,  219188869,  7102 , 1744752 
221 , 220032608,  220039729,  7121 , 1701701 
222 , 220904455,  220911596,  7141 , 1743714 
223 , 221754687,  221761847,  7160 , 1700483 
