Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  701 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 1516370,  1519495,  3125 
128 , 134819179,  134824265,  5086 , 1805716 
129 , 135705510,  135710612,  5102 , 1772678 
130 , 136606847,  136611965,  5118 , 1802690 
131 , 137491611,  137496744,  5133 , 1769543 
132 , 138391470,  138396618,  5148 , 1799733 
133 , 139274697,  139279861,  5164 , 1766470 
134 , 140173133,  140178312,  5179 , 1796887 
135 , 141054873,  141060067,  5194 , 1763495 
136 , 141951957,  141957166,  5209 , 1794183 
137 , 142832260,  142837487,  5227 , 1760624 
138 , 143727980,  143733221,  5241 , 1791454 
139 , 144606839,  144612097,  5258 , 1757735 
140 , 145501262,  145506535,  5273 , 1788861 
141 , 146378714,  146384004,  5290 , 1754921 
142 , 147271896,  147277201,  5305 , 1786379 
143 , 148148003,  148153324,  5321 , 1752230 
144 , 149039901,  149045237,  5336 , 1783811 
145 , 149914674,  149920026,  5352 , 1749562 
146 , 150805370,  150810736,  5366 , 1781406 
147 , 151678845,  151684228,  5383 , 1746967 
148 , 152568355,  152573754,  5399 , 1779036 
149 , 153440546,  153445959,  5413 , 1744396 
150 , 154328937,  154334366,  5429 , 1776798 
151 , 155199900,  155205345,  5445 , 1741942 
152 , 156087150,  156092609,  5459 , 1774514 
153 , 156956933,  156962410,  5477 , 1739584 
154 , 157843027,  157848519,  5492 , 1772203 
155 , 158711637,  158717145,  5508 , 1737236 
156 , 159596658,  159602182,  5524 , 1770058 
157 , 160464090,  160469630,  5540 , 1734880 
158 , 161348087,  161353643,  5556 , 1768010 
159 , 162214373,  162219943,  5570 , 1732586 
160 , 163097325,  163102911,  5586 , 1765920 
161 , 163962479,  163968081,  5602 , 1730324 
162 , 164844436,  164850053,  5617 , 1763929 
163 , 165708508,  165714141,  5633 , 1728160 
164 , 166589456,  166595107,  5651 , 1761914 
165 , 167452473,  167458140,  5667 , 1726050 
166 , 168332425,  168338104,  5679 , 1759916 
167 , 169194390,  169200087,  5697 , 1723948 
168 , 170073394,  170079105,  5711 , 1758022 
169 , 170934337,  170940066,  5729 , 1721904 
170 , 171812432,  171818177,  5745 , 1756206 
171 , 172672378,  172678138,  5760 , 1719907 
172 , 173549592,  173555365,  5773 , 1754441 
173 , 174408563,  174414353,  5790 , 1717959 
174 , 175284916,  175290722,  5806 , 1752722 
175 , 176142923,  176148745,  5822 , 1716030 
176 , 177018428,  177024267,  5839 , 1751027 
177 , 177875533,  177881386,  5853 , 1714224 
178 , 178750177,  178756045,  5868 , 1749303 
179 , 179606352,  179612236,  5884 , 1712366 
180 , 180480183,  180486083,  5900 , 1747678 
181 , 181335447,  181341366,  5919 , 1710547 
182 , 182208461,  182214394,  5933 , 1746042 
183 , 183062832,  183068779,  5947 , 1708756 
184 , 183935051,  183941015,  5964 , 1744455 
185 , 184788535,  184794515,  5980 , 1706984 
186 , 185659964,  185665963,  5999 , 1742877 
187 , 186512562,  186518575,  6013 , 1705210 
188 , 187383230,  187389259,  6029 , 1741352 
189 , 188234962,  188241007,  6045 , 1703480 
190 , 189104879,  189110938,  6059 , 1739848 
191 , 189955759,  189961836,  6077 , 1701778 
192 , 190824931,  190831022,  6091 , 1738358 
193 , 191674983,  191681091,  6108 , 1700121 
194 , 192543436,  192549561,  6125 , 1736923 
195 , 193392675,  193398816,  6141 , 1698494 
196 , 194260394,  194266552,  6158 , 1735455 
197 , 195108837,  195115009,  6172 , 1696900 
198 , 195975883,  195982072,  6189 , 1734109 
199 , 196823569,  196829772,  6203 , 1695386 
200 , 197689956,  197696177,  6221 , 1732792 
201 , 198536869,  198543106,  6237 , 1693842 
202 , 199402583,  199408835,  6252 , 1731443 
203 , 200248751,  200255019,  6268 , 1692352 
204 , 201113812,  201120097,  6285 , 1730139 
205 , 201959243,  201965545,  6302 , 1690879 
206 , 202823660,  202829975,  6315 , 1728847 
207 , 203668357,  203674689,  6332 , 1689411 
208 , 204532136,  204538486,  6350 , 1727576 
209 , 205376119,  205382483,  6364 , 1687980 
210 , 206239309,  206245691,  6382 , 1726398 
211 , 207082602,  207088998,  6396 , 1686600 
212 , 207945200,  207951614,  6414 , 1725214 
213 , 208787817,  208794245,  6428 , 1685248 
214 , 209649827,  209656273,  6446 , 1724038 
215 , 210491760,  210498220,  6460 , 1683880 
216 , 211353185,  211359661,  6476 , 1722866 
217 , 212194438,  212200931,  6493 , 1682523 
218 , 213055341,  213061849,  6508 , 1721821 
219 , 213895921,  213902445,  6524 , 1681176 
220 , 214756257,  214762799,  6542 , 1720690 
221 , 215596189,  215602747,  6558 , 1679880 
222 , 216455995,  216462569,  6574 , 1719628 
223 , 217295298,  217301888,  6590 , 1678622 
224 , 218154576,  218161180,  6604 , 1718570 
225 , 218993265,  218999886,  6621 , 1677395 
226 , 219851981,  219858618,  6637 , 1717448 
227 , 220690041,  220696696,  6655 , 1676138 
228 , 221548263,  221554932,  6669 , 1716458 
229 , 222385706,  222392391,  6685 , 1674902 
230 , 223243440,  223250141,  6701 , 1715484 
231 , 224080295,  224087013,  6718 , 1673727 
232 , 224937521,  224944256,  6735 , 1714469 
233 , 225773790,  225780542,  6752 , 1672555 
234 , 226630536,  226637303,  6767 , 1713507 
235 , 227466220,  227473003,  6783 , 1671384 
236 , 228322501,  228329301,  6800 , 1712579 
237 , 229157608,  229164424,  6816 , 1670230 
238 , 230013421,  230020253,  6832 , 1711642 
239 , 230847959,  230854807,  6848 , 1669092 
240 , 231703295,  231710161,  6866 , 1710690 
241 , 232537270,  232544152,  6882 , 1667966 
242 , 233392176,  233399074,  6898 , 1709828 
243 , 234225603,  234232517,  6914 , 1666870 
244 , 235080044,  235086974,  6930 , 1708898 
245 , 235912931,  235919879,  6948 , 1665792 
246 , 236766934,  236773896,  6962 , 1708020 
247 , 237599284,  237606264,  6980 , 1664718 
248 , 238452835,  238459833,  6998 , 1707120 
249 , 239284648,  239291663,  7015 , 1663643 
250 , 240137759,  240144790,  7031 , 1706238 
251 , 240969038,  240976087,  7049 , 1662576 
252 , 241821728,  241828791,  7063 , 1705394 
253 , 242652495,  242659576,  7081 , 1661552 
254 , 243504774,  243511873,  7099 , 1704576 
255 , 244335028,  244342143,  7115 , 1660524 
256 , 245186910,  245194041,  7131 , 1703780 
257 , 246016648,  246023797,  7149 , 1659494 
258 , 246868131,  246875297,  7166 , 1702983 
259 , 247697379,  247704559,  7180 , 1658510 
260 , 248548478,  248555676,  7198 , 1702216 
261 , 249377242,  249384455,  7213 , 1657543 
262 , 250227976,  250235206,  7230 , 1701485 
263 , 251056268,  251063516,  7248 , 1656602 
264 , 251906637,  251913899,  7262 , 1700752 
265 , 252734454,  252741732,  7278 , 1655650 
266 , 253584428,  253591724,  7296 , 1699966 
267 , 254411781,  254419093,  7312 , 1654722 
268 , 255261386,  255268716,  7330 , 1699228 
269 , 256088277,  256095622,  7345 , 1653797 
270 , 256937523,  256944884,  7361 , 1698508 
271 , 257763967,  257771347,  7380 , 1652907 
272 , 258612853,  258620248,  7395 , 1697787 
273 , 259438842,  259446254,  7412 , 1651995 
274 , 260287406,  260294835,  7429 , 1697145 
275 , 261112961,  261120405,  7444 , 1651125 
276 , 261961197,  261968659,  7462 , 1696490 
277 , 262786315,  262793794,  7479 , 1650253 
278 , 263634209,  263641704,  7495 , 1695804 
279 , 264458909,  264466422,  7513 , 1649418 
280 , 265306460,  265313986,  7526 , 1695115 
281 , 266130733,  266138278,  7545 , 1648565 
282 , 266977958,  266985520,  7562 , 1694467 
283 , 267801801,  267809381,  7580 , 1647704 
284 , 268648700,  268656296,  7596 , 1693814 
285 , 269472127,  269479738,  7611 , 1646869 
286 , 270318697,  270326326,  7629 , 1693158 
287 , 271141710,  271149356,  7646 , 1646043 
288 , 271988002,  271995663,  7661 , 1692599 
289 , 272810606,  272818285,  7679 , 1645226 
290 , 273656583,  273664280,  7697 , 1691972 
291 , 274478792,  274486506,  7714 , 1644435 
292 , 275324468,  275332198,  7730 , 1691368 
293 , 276146273,  276154019,  7746 , 1643626 
294 , 276991676,  276999439,  7763 , 1690823 
295 , 277813077,  277820857,  7780 , 1642819 
